cluster,ca_press,ca_SP,ca_CT,rnge_SP,diff_SP,nir_SP,out_nir_SP,nir_CT,out_nir_CT,nir_press,out_nir_press,cRL,out_cRL,out_1st,out_2nd
0,317.8496499,34.74818709,0.5601355495,0.01881663213,0.01100160048,1.710354067,FALSE,7.985873021,FALSE,40.81533248,FALSE,-1.291328013,FALSE,FALSE,FALSE
1,308.7336972,34.72486063,0.5219991685,0.009430379931,0.01547758629,0.6092926735,FALSE,12.4462311,FALSE,19.98831427,FALSE,-1.487750742,FALSE,FALSE,FALSE
2,305.3290279,34.69807248,0.4546770203,0.01041811425,0.01131055958,0.9210962705,FALSE,48.86314847,FALSE,23.24004586,FALSE,-1.495506917,FALSE,FALSE,FALSE
3,306.8923195,34.70938304,0.4587862319,0.01291935403,0.01131055958,1.142238272,FALSE,46.72822775,FALSE,23.65384395,FALSE,-1.225288593,FALSE,FALSE,FALSE
4,287.5605841,34.65346497,0.3674116782,0.002262646947,0.015625829,0.144801722,FALSE,219.9307706,TRUE,82.87635855,TRUE,-1.941555248,FALSE,FALSE,FALSE
5,282.2671456,34.62288057,0.2567315724,0.001810989627,0.014958574,0.1210669966,FALSE,10.39163914,FALSE,6.611675405,FALSE,-2.061431097,FALSE,FALSE,FALSE
6,287.1069789,34.63783915,0.3054282581,0.002035099201,0.014958574,0.1360490112,FALSE,5.169024205,FALSE,82.00857216,TRUE,-1.663702873,FALSE,FALSE,FALSE
7,348.2275085,34.770431,0.6111487049,0.008718376747,0.0001098847688,79.34108466,TRUE,44.38841523,FALSE,18.52186893,FALSE,-1.283461633,FALSE,TRUE,FALSE
8,277.3015698,34.6066853,0.2338501879,0.01406614852,0.01522700534,0.9237632881,FALSE,6.800483562,FALSE,13.96010239,FALSE,-3.870023895,FALSE,FALSE,FALSE
9,274.8539578,34.59145829,0.1719144742,0.01415628881,0.01522700534,0.9296830528,FALSE,2.806558742,FALSE,13.62817608,FALSE,-3.084733084,FALSE,FALSE,FALSE
10,350.9690557,34.78099653,0.6761724789,0.00657272328,0.01045564284,0.6286292849,FALSE,6.846827211,FALSE,17.15628519,FALSE,-1.275067214,FALSE,FALSE,FALSE
11,318.6955451,34.75918869,0.6244397087,0.01524698014,0.006091630468,2.50293911,FALSE,228.0970241,TRUE,39.67160511,FALSE,-1.706575923,FALSE,FALSE,FALSE
12,211.3601424,34.21511468,-0.8814611531,0.01263186296,0.01745731441,0.7235856939,FALSE,4.490991118,FALSE,13.18650438,FALSE,-6.072197459,FALSE,FALSE,FALSE
13,269.1972239,34.5636984,0.09778713036,0.01151709528,0.01510169803,0.7626357814,FALSE,4.67700608,FALSE,8.594873936,FALSE,-2.799937474,FALSE,FALSE,FALSE
14,228.6860477,34.34809048,-0.5400685138,0.007943469789,0.01763615887,0.4504081555,FALSE,3.488015538,FALSE,12.90238646,FALSE,-8.062637181,FALSE,FALSE,FALSE
15,245.7823746,34.45015844,-0.2419944166,0.01425749767,0.02094940114,0.6805682691,FALSE,2.756622532,FALSE,9.021496155,FALSE,-7.947395868,FALSE,FALSE,FALSE
16,250.2877216,34.47382835,-0.1721786552,0.0206053159,0.01974207432,1.043725982,FALSE,2.797687604,FALSE,8.746070809,FALSE,-11.0616512,FALSE,FALSE,FALSE
17,215.9049922,34.24944813,-0.8010018149,0.01590362194,0.01687613695,0.9423733636,FALSE,7.728346801,FALSE,20.97395388,FALSE,-5.760007919,FALSE,FALSE,FALSE
18,213.4957898,34.232572,-0.8441212659,0.01398659314,0.01687613695,0.8287793104,FALSE,9.10747486,FALSE,17.56153231,FALSE,-6.342996034,FALSE,FALSE,FALSE
19,254.36144,34.49357042,-0.1126217088,0.02198651889,0.01498595322,1.467141833,FALSE,4.243275311,FALSE,10.67247132,FALSE,-5.642766219,FALSE,FALSE,FALSE
20,257.7988394,34.50855638,-0.06830469956,0.0145122324,0.0149456006,0.9710036276,FALSE,6.006534702,FALSE,12.46148655,FALSE,-5.308465388,FALSE,FALSE,FALSE
21,217.8115469,34.26872453,-0.7505345971,0.005356407543,0.01537493876,0.348385618,FALSE,6.873819128,FALSE,19.90757731,FALSE,-6.70678292,FALSE,FALSE,FALSE
22,265.1213772,34.5485967,0.05434872564,0.01223539935,0.01463502003,0.8360357091,FALSE,5.218937711,FALSE,12.25578103,FALSE,-3.244870144,FALSE,FALSE,FALSE
23,242.0573549,34.42920903,-0.3013930814,0.01429140697,0.01646160338,0.8681661585,FALSE,4.106340934,FALSE,11.71875328,FALSE,-6.271834393,FALSE,FALSE,FALSE
24,293.1496063,34.66953392,0.3756381782,0.01002666798,0.0006167855378,16.25632796,FALSE,27.40286287,FALSE,7.041919476,FALSE,-1.306212813,FALSE,FALSE,TRUE
25,300.3053982,34.67094967,0.3930651653,0.0157385296,0.0007989696048,19.6985336,FALSE,10.79651356,FALSE,15.44308494,FALSE,-1.403030557,FALSE,FALSE,TRUE
26,297.9248486,34.6701507,0.3684580548,0.01037907227,0.0006167855378,16.82768423,FALSE,165.0866611,TRUE,14.23404159,FALSE,-1.225543375,FALSE,FALSE,TRUE
27,260.7916482,34.52350198,-0.02518266985,0.01079572811,0.01045970001,1.032125979,FALSE,6.194346995,FALSE,25.02579804,FALSE,-3.893037151,FALSE,FALSE,FALSE
28,262.2781784,34.53396168,0.01833515527,0.01162020916,0.01045970001,1.11095052,FALSE,5.221734017,FALSE,23.54990387,FALSE,-4.293262179,FALSE,FALSE,FALSE
29,226.0551891,34.32979905,-0.5915738476,0.01227912771,0.01797587308,0.6830893641,FALSE,7.134334947,FALSE,17.00017961,FALSE,-8.57303156,FALSE,FALSE,FALSE
30,223.3148666,34.31182318,-0.6417543621,0.01016698422,0.01420891111,0.7155357752,FALSE,5.835308954,FALSE,16.28153527,FALSE,-7.062244826,FALSE,FALSE,FALSE
31,219.5733927,34.28409947,-0.7137402525,0.01264786931,0.01351479254,0.9358537521,FALSE,7.949884693,FALSE,23.53086319,FALSE,-6.418494214,FALSE,FALSE,FALSE
32,221.1854803,34.29761426,-0.6805524524,0.01528539834,0.01351479254,1.131012429,FALSE,6.85611539,FALSE,23.54370396,FALSE,-6.820048501,FALSE,FALSE,FALSE
33,231.4692008,34.36572664,-0.4854106865,0.01875202107,0.01763615887,1.063271272,FALSE,4.238061088,FALSE,15.66609808,FALSE,-11.38397162,FALSE,FALSE,FALSE
34,238.8641196,34.41274743,-0.3476728284,0.01263186296,0.01535133382,0.822851168,FALSE,6.262886679,FALSE,13.8994176,FALSE,-6.406371409,FALSE,FALSE,FALSE
35,236.1094509,34.3973961,-0.3902865926,0.00365573067,0.01248394571,0.2928345537,FALSE,7.499015803,FALSE,18.80966972,FALSE,-6.356889698,FALSE,FALSE,FALSE
36,233.8050667,34.38491215,-0.4284260035,0.006711352055,0.01248394571,0.5375986256,FALSE,9.299087642,FALSE,22.1964868,FALSE,-6.735943139,FALSE,FALSE,FALSE
37,342.5752778,34.76528032,0.5069455323,0.009104472937,0.005150681268,1.767624992,FALSE,13.05775496,FALSE,5.86771035,FALSE,-1.220899744,FALSE,FALSE,FALSE
38,337.0057016,34.77054088,0.6491772587,0.002616154681,0.0001098847688,23.80816476,FALSE,18.18074004,FALSE,5.774535235,FALSE,-1.976990408,FALSE,FALSE,TRUE
39,374.514852,34.79804566,0.5419215905,0.004593888093,0.003874253704,1.185747874,FALSE,8.008450638,FALSE,47.32474459,FALSE,-1.761917611,FALSE,FALSE,FALSE
40,418.2229982,34.8161226,0.62283446,0.002175233242,0.009283155914,1.143581885,FALSE,193.9488738,TRUE,2.008451683,FALSE,-2.294414735,FALSE,FALSE,FALSE
41,370.3617634,34.80191992,0.6146091207,0.01061604894,0.003874253704,2.740153266,FALSE,89.25878496,FALSE,12.4886302,FALSE,-1.820650769,TRUE,TRUE,FALSE
42,377.3213993,34.80683944,0.7177385878,0.002175233242,0.004919524037,0.4421633527,FALSE,4.625524057,FALSE,15.06923457,FALSE,-1.957866256,TRUE,TRUE,FALSE